chhattisgarhi,hindi,english,category
बढ़िया_139,उदाहरण शब्द,sample word,synthetic
नवा_140,उदाहरण शब्द,sample word,synthetic
पुराना_141,उदाहरण शब्द,sample word,synthetic
गरम_142,उदाहरण शब्द,sample word,synthetic
ठंडा_143,उदाहरण शब्द,sample word,synthetic
मंय_144,उदाहरण शब्द,sample word,synthetic
हमन_145,उदाहरण शब्द,sample word,synthetic
तंय_146,उदाहरण शब्द,sample word,synthetic
ओ_147,उदाहरण शब्द,sample word,synthetic
ए_148,उदाहरण शब्द,sample word,synthetic
इहाँ_149,उदाहरण शब्द,sample word,synthetic
ओतका_150,उदाहरण शब्द,sample word,synthetic
का_151,उदाहरण शब्द,sample word,synthetic
काबर_152,उदाहरण शब्द,sample word,synthetic
कइसे_153,उदाहरण शब्द,sample word,synthetic
कइँहा_154,उदाहरण शब्द,sample word,synthetic
कऊन_155,उदाहरण शब्द,sample word,synthetic
ला_156,उदाहरण शब्द,sample word,synthetic
म_157,उदाहरण शब्द,sample word,synthetic
ले_158,उदाहरण शब्द,sample word,synthetic
बर_159,उदाहरण शब्द,sample word,synthetic
मन_160,उदाहरण शब्द,sample word,synthetic
अब्बड़_161,उदाहरण शब्द,sample word,synthetic
थोरिक_162,उदाहरण शब्द,sample word,synthetic
नइ_163,उदाहरण शब्द,sample word,synthetic
झन_164,उदाहरण शब्द,sample word,synthetic
अऊ_165,उदाहरण शब्द,sample word,synthetic
घलो_166,उदाहरण शब्द,sample word,synthetic
ददा_167,उदाहरण शब्द,sample word,synthetic
दाई_168,उदाहरण शब्द,sample word,synthetic
भइया_169,उदाहरण शब्द,sample word,synthetic
बहिनी_170,उदाहरण शब्द,sample word,synthetic
लइका_171,उदाहरण शब्द,sample word,synthetic
किसान_172,उदाहरण शब्द,sample word,synthetic
धान_173,उदाहरण शब्द,sample word,synthetic
खेत_174,उदाहरण शब्द,sample word,synthetic
माटी_175,उदाहरण शब्द,sample word,synthetic
नदिया_176,उदाहरण शब्द,sample word,synthetic
पहार_177,उदाहरण शब्द,sample word,synthetic
जंगल_178,उदाहरण शब्द,sample word,synthetic
बरसात_179,उदाहरण शब्द,sample word,synthetic
हवा_180,उदाहरण शब्द,sample word,synthetic
सूरज_181,उदाहरण शब्द,sample word,synthetic
चंदा_182,उदाहरण शब्द,sample word,synthetic
मंदिर_183,उदाहरण शब्द,sample word,synthetic
झरना_184,उदाहरण शब्द,sample word,synthetic
मेला_185,उदाहरण शब्द,sample word,synthetic
तीर्थ_186,उदाहरण शब्द,sample word,synthetic
बढ़िया_187,उदाहरण शब्द,sample word,synthetic
नवा_188,उदाहरण शब्द,sample word,synthetic
पुराना_189,उदाहरण शब्द,sample word,synthetic
गरम_190,उदाहरण शब्द,sample word,synthetic
ठंडा_191,उदाहरण शब्द,sample word,synthetic
मंय_192,उदाहरण शब्द,sample word,synthetic
हमन_193,उदाहरण शब्द,sample word,synthetic
तंय_194,उदाहरण शब्द,sample word,synthetic
ओ_195,उदाहरण शब्द,sample word,synthetic
ए_196,उदाहरण शब्द,sample word,synthetic
इहाँ_197,उदाहरण शब्द,sample word,synthetic
ओतका_198,उदाहरण शब्द,sample word,synthetic
का_199,उदाहरण शब्द,sample word,synthetic
काबर_200,उदाहरण शब्द,sample word,synthetic
कइसे_201,उदाहरण शब्द,sample word,synthetic
कइँहा_202,उदाहरण शब्द,sample word,synthetic
कऊन_203,उदाहरण शब्द,sample word,synthetic
ला_204,उदाहरण शब्द,sample word,synthetic
म_205,उदाहरण शब्द,sample word,synthetic
ले_206,उदाहरण शब्द,sample word,synthetic
बर_207,उदाहरण शब्द,sample word,synthetic
मन_208,उदाहरण शब्द,sample word,synthetic
अब्बड़_209,उदाहरण शब्द,sample word,synthetic
थोरिक_210,उदाहरण शब्द,sample word,synthetic
नइ_211,उदाहरण शब्द,sample word,synthetic
झन_212,उदाहरण शब्द,sample word,synthetic
अऊ_213,उदाहरण शब्द,sample word,synthetic
घलो_214,उदाहरण शब्द,sample word,synthetic
ददा_215,उदाहरण शब्द,sample word,synthetic
दाई_216,उदाहरण शब्द,sample word,synthetic
भइया_217,उदाहरण शब्द,sample word,synthetic
बहिनी_218,उदाहरण शब्द,sample word,synthetic
लइका_219,उदाहरण शब्द,sample word,synthetic
किसान_220,उदाहरण शब्द,sample word,synthetic
धान_221,उदाहरण शब्द,sample word,synthetic
खेत_222,उदाहरण शब्द,sample word,synthetic
माटी_223,उदाहरण शब्द,sample word,synthetic
नदिया_224,उदाहरण शब्द,sample word,synthetic
पहार_225,उदाहरण शब्द,sample word,synthetic
जंगल_226,उदाहरण शब्द,sample word,synthetic
बरसात_227,उदाहरण शब्द,sample word,synthetic
हवा_228,उदाहरण शब्द,sample word,synthetic
सूरज_229,उदाहरण शब्द,sample word,synthetic
चंदा_230,उदाहरण शब्द,sample word,synthetic
मंदिर_231,उदाहरण शब्द,sample word,synthetic
झरना_232,उदाहरण शब्द,sample word,synthetic
मेला_233,उदाहरण शब्द,sample word,synthetic
तीर्थ_234,उदाहरण शब्द,sample word,synthetic
बढ़िया_235,उदाहरण शब्द,sample word,synthetic
नवा_236,उदाहरण शब्द,sample word,synthetic
पुराना_237,उदाहरण शब्द,sample word,synthetic
गरम_238,उदाहरण शब्द,sample word,synthetic
ठंडा_239,उदाहरण शब्द,sample word,synthetic
मंय_240,उदाहरण शब्द,sample word,synthetic
हमन_241,उदाहरण शब्द,sample word,synthetic
तंय_242,उदाहरण शब्द,sample word,synthetic
ओ_243,उदाहरण शब्द,sample word,synthetic
ए_244,उदाहरण शब्द,sample word,synthetic
इहाँ_245,उदाहरण शब्द,sample word,synthetic
ओतका_246,उदाहरण शब्द,sample word,synthetic
का_247,उदाहरण शब्द,sample word,synthetic
काबर_248,उदाहरण शब्द,sample word,synthetic
कइसे_249,उदाहरण शब्द,sample word,synthetic
कइँहा_250,उदाहरण शब्द,sample word,synthetic
कऊन_251,उदाहरण शब्द,sample word,synthetic
ला_252,उदाहरण शब्द,sample word,synthetic
म_253,उदाहरण शब्द,sample word,synthetic
ले_254,उदाहरण शब्द,sample word,synthetic
बर_255,उदाहरण शब्द,sample word,synthetic
मन_256,उदाहरण शब्द,sample word,synthetic
अब्बड़_257,उदाहरण शब्द,sample word,synthetic
थोरिक_258,उदाहरण शब्द,sample word,synthetic
नइ_259,उदाहरण शब्द,sample word,synthetic
झन_260,उदाहरण शब्द,sample word,synthetic
अऊ_261,उदाहरण शब्द,sample word,synthetic
घलो_262,उदाहरण शब्द,sample word,synthetic
ददा_263,उदाहरण शब्द,sample word,synthetic
दाई_264,उदाहरण शब्द,sample word,synthetic
भइया_265,उदाहरण शब्द,sample word,synthetic
बहिनी_266,उदाहरण शब्द,sample word,synthetic
लइका_267,उदाहरण शब्द,sample word,synthetic
किसान_268,उदाहरण शब्द,sample word,synthetic
धान_269,उदाहरण शब्द,sample word,synthetic
खेत_270,उदाहरण शब्द,sample word,synthetic
माटी_271,उदाहरण शब्द,sample word,synthetic
नदिया_272,उदाहरण शब्द,sample word,synthetic
पहार_273,उदाहरण शब्द,sample word,synthetic
जंगल_274,उदाहरण शब्द,sample word,synthetic
बरसात_275,उदाहरण शब्द,sample word,synthetic
हवा_276,उदाहरण शब्द,sample word,synthetic
सूरज_277,उदाहरण शब्द,sample word,synthetic
चंदा_278,उदाहरण शब्द,sample word,synthetic
मंदिर_279,उदाहरण शब्द,sample word,synthetic
झरना_280,उदाहरण शब्द,sample word,synthetic
मेला_281,उदाहरण शब्द,sample word,synthetic
तीर्थ_282,उदाहरण शब्द,sample word,synthetic
बढ़िया_283,उदाहरण शब्द,sample word,synthetic
नवा_284,उदाहरण शब्द,sample word,synthetic
पुराना_285,उदाहरण शब्द,sample word,synthetic
गरम_286,उदाहरण शब्द,sample word,synthetic
ठंडा_287,उदाहरण शब्द,sample word,synthetic
मंय_288,उदाहरण शब्द,sample word,synthetic
हमन_289,उदाहरण शब्द,sample word,synthetic
तंय_290,उदाहरण शब्द,sample word,synthetic
ओ_291,उदाहरण शब्द,sample word,synthetic
ए_292,उदाहरण शब्द,sample word,synthetic
इहाँ_293,उदाहरण शब्द,sample word,synthetic
ओतका_294,उदाहरण शब्द,sample word,synthetic
का_295,उदाहरण शब्द,sample word,synthetic
काबर_296,उदाहरण शब्द,sample word,synthetic
कइसे_297,उदाहरण शब्द,sample word,synthetic
कइँहा_298,उदाहरण शब्द,sample word,synthetic
कऊन_299,उदाहरण शब्द,sample word,synthetic
ला_300,उदाहरण शब्द,sample word,synthetic
म_301,उदाहरण शब्द,sample word,synthetic
ले_302,उदाहरण शब्द,sample word,synthetic
बर_303,उदाहरण शब्द,sample word,synthetic
मन_304,उदाहरण शब्द,sample word,synthetic
अब्बड़_305,उदाहरण शब्द,sample word,synthetic
थोरिक_306,उदाहरण शब्द,sample word,synthetic
नइ_307,उदाहरण शब्द,sample word,synthetic
झन_308,उदाहरण शब्द,sample word,synthetic
अऊ_309,उदाहरण शब्द,sample word,synthetic
घलो_310,उदाहरण शब्द,sample word,synthetic
ददा_311,उदाहरण शब्द,sample word,synthetic
दाई_312,उदाहरण शब्द,sample word,synthetic
भइया_313,उदाहरण शब्द,sample word,synthetic
बहिनी_314,उदाहरण शब्द,sample word,synthetic
लइका_315,उदाहरण शब्द,sample word,synthetic
किसान_316,उदाहरण शब्द,sample word,synthetic
धान_317,उदाहरण शब्द,sample word,synthetic
खेत_318,उदाहरण शब्द,sample word,synthetic
माटी_319,उदाहरण शब्द,sample word,synthetic
नदिया_320,उदाहरण शब्द,sample word,synthetic
पहार_321,उदाहरण शब्द,sample word,synthetic
जंगल_322,उदाहरण शब्द,sample word,synthetic
बरसात_323,उदाहरण शब्द,sample word,synthetic
हवा_324,उदाहरण शब्द,sample word,synthetic
सूरज_325,उदाहरण शब्द,sample word,synthetic
चंदा_326,उदाहरण शब्द,sample word,synthetic
मंदिर_327,उदाहरण शब्द,sample word,synthetic
झरना_328,उदाहरण शब्द,sample word,synthetic
मेला_329,उदाहरण शब्द,sample word,synthetic
तीर्थ_330,उदाहरण शब्द,sample word,synthetic
बढ़िया_331,उदाहरण शब्द,sample word,synthetic
नवा_332,उदाहरण शब्द,sample word,synthetic
पुराना_333,उदाहरण शब्द,sample word,synthetic
गरम_334,उदाहरण शब्द,sample word,synthetic
ठंडा_335,उदाहरण शब्द,sample word,synthetic
मंय_336,उदाहरण शब्द,sample word,synthetic
हमन_337,उदाहरण शब्द,sample word,synthetic
तंय_338,उदाहरण शब्द,sample word,synthetic
ओ_339,उदाहरण शब्द,sample word,synthetic
ए_340,उदाहरण शब्द,sample word,synthetic
इहाँ_341,उदाहरण शब्द,sample word,synthetic
ओतका_342,उदाहरण शब्द,sample word,synthetic
का_343,उदाहरण शब्द,sample word,synthetic
काबर_344,उदाहरण शब्द,sample word,synthetic
कइसे_345,उदाहरण शब्द,sample word,synthetic
कइँहा_346,उदाहरण शब्द,sample word,synthetic
कऊन_347,उदाहरण शब्द,sample word,synthetic
ला_348,उदाहरण शब्द,sample word,synthetic
म_349,उदाहरण शब्द,sample word,synthetic
ले_350,उदाहरण शब्द,sample word,synthetic
बर_351,उदाहरण शब्द,sample word,synthetic
मन_352,उदाहरण शब्द,sample word,synthetic
अब्बड़_353,उदाहरण शब्द,sample word,synthetic
थोरिक_354,उदाहरण शब्द,sample word,synthetic
नइ_355,उदाहरण शब्द,sample word,synthetic
झन_356,उदाहरण शब्द,sample word,synthetic
अऊ_357,उदाहरण शब्द,sample word,synthetic
घलो_358,उदाहरण शब्द,sample word,synthetic
ददा_359,उदाहरण शब्द,sample word,synthetic
दाई_360,उदाहरण शब्द,sample word,synthetic
भइया_361,उदाहरण शब्द,sample word,synthetic
बहिनी_362,उदाहरण शब्द,sample word,synthetic
लइका_363,उदाहरण शब्द,sample word,synthetic
किसान_364,उदाहरण शब्द,sample word,synthetic
धान_365,उदाहरण शब्द,sample word,synthetic
खेत_366,उदाहरण शब्द,sample word,synthetic
माटी_367,उदाहरण शब्द,sample word,synthetic
नदिया_368,उदाहरण शब्द,sample word,synthetic
पहार_369,उदाहरण शब्द,sample word,synthetic
जंगल_370,उदाहरण शब्द,sample word,synthetic
बरसात_371,उदाहरण शब्द,sample word,synthetic
हवा_372,उदाहरण शब्द,sample word,synthetic
सूरज_373,उदाहरण शब्द,sample word,synthetic
चंदा_374,उदाहरण शब्द,sample word,synthetic
मंदिर_375,उदाहरण शब्द,sample word,synthetic
झरना_376,उदाहरण शब्द,sample word,synthetic
मेला_377,उदाहरण शब्द,sample word,synthetic
तीर्थ_378,उदाहरण शब्द,sample word,synthetic
बढ़िया_379,उदाहरण शब्द,sample word,synthetic
नवा_380,उदाहरण शब्द,sample word,synthetic
पुराना_381,उदाहरण शब्द,sample word,synthetic
गरम_382,उदाहरण शब्द,sample word,synthetic
ठंडा_383,उदाहरण शब्द,sample word,synthetic
मंय_384,उदाहरण शब्द,sample word,synthetic
हमन_385,उदाहरण शब्द,sample word,synthetic
तंय_386,उदाहरण शब्द,sample word,synthetic
ओ_387,उदाहरण शब्द,sample word,synthetic
ए_388,उदाहरण शब्द,sample word,synthetic
इहाँ_389,उदाहरण शब्द,sample word,synthetic
ओतका_390,उदाहरण शब्द,sample word,synthetic
का_391,उदाहरण शब्द,sample word,synthetic
काबर_392,उदाहरण शब्द,sample word,synthetic
कइसे_393,उदाहरण शब्द,sample word,synthetic
कइँहा_394,उदाहरण शब्द,sample word,synthetic
कऊन_395,उदाहरण शब्द,sample word,synthetic
ला_396,उदाहरण शब्द,sample word,synthetic
म_397,उदाहरण शब्द,sample word,synthetic
ले_398,उदाहरण शब्द,sample word,synthetic
बर_399,उदाहरण शब्द,sample word,synthetic
मन_400,उदाहरण शब्द,sample word,synthetic
अब्बड़_401,उदाहरण शब्द,sample word,synthetic
थोरिक_402,उदाहरण शब्द,sample word,synthetic
नइ_403,उदाहरण शब्द,sample word,synthetic
झन_404,उदाहरण शब्द,sample word,synthetic
अऊ_405,उदाहरण शब्द,sample word,synthetic
घलो_406,उदाहरण शब्द,sample word,synthetic
ददा_407,उदाहरण शब्द,sample word,synthetic
दाई_408,उदाहरण शब्द,sample word,synthetic
भइया_409,उदाहरण शब्द,sample word,synthetic
बहिनी_410,उदाहरण शब्द,sample word,synthetic
लइका_411,उदाहरण शब्द,sample word,synthetic
किसान_412,उदाहरण शब्द,sample word,synthetic
धान_413,उदाहरण शब्द,sample word,synthetic
खेत_414,उदाहरण शब्द,sample word,synthetic
माटी_415,उदाहरण शब्द,sample word,synthetic
नदिया_416,उदाहरण शब्द,sample word,synthetic
पहार_417,उदाहरण शब्द,sample word,synthetic
जंगल_418,उदाहरण शब्द,sample word,synthetic
बरसात_419,उदाहरण शब्द,sample word,synthetic
हवा_420,उदाहरण शब्द,sample word,synthetic
सूरज_421,उदाहरण शब्द,sample word,synthetic
चंदा_422,उदाहरण शब्द,sample word,synthetic
मंदिर_423,उदाहरण शब्द,sample word,synthetic
झरना_424,उदाहरण शब्द,sample word,synthetic
मेला_425,उदाहरण शब्द,sample word,synthetic
तीर्थ_426,उदाहरण शब्द,sample word,synthetic
बढ़िया_427,उदाहरण शब्द,sample word,synthetic
नवा_428,उदाहरण शब्द,sample word,synthetic
पुराना_429,उदाहरण शब्द,sample word,synthetic
गरम_430,उदाहरण शब्द,sample word,synthetic
ठंडा_431,उदाहरण शब्द,sample word,synthetic
मंय_432,उदाहरण शब्द,sample word,synthetic
हमन_433,उदाहरण शब्द,sample word,synthetic
तंय_434,उदाहरण शब्द,sample word,synthetic
ओ_435,उदाहरण शब्द,sample word,synthetic
ए_436,उदाहरण शब्द,sample word,synthetic
इहाँ_437,उदाहरण शब्द,sample word,synthetic
ओतका_438,उदाहरण शब्द,sample word,synthetic
का_439,उदाहरण शब्द,sample word,synthetic
काबर_440,उदाहरण शब्द,sample word,synthetic
कइसे_441,उदाहरण शब्द,sample word,synthetic
कइँहा_442,उदाहरण शब्द,sample word,synthetic
कऊन_443,उदाहरण शब्द,sample word,synthetic
ला_444,उदाहरण शब्द,sample word,synthetic
म_445,उदाहरण शब्द,sample word,synthetic
ले_446,उदाहरण शब्द,sample word,synthetic
बर_447,उदाहरण शब्द,sample word,synthetic
मन_448,उदाहरण शब्द,sample word,synthetic
अब्बड़_449,उदाहरण शब्द,sample word,synthetic
थोरिक_450,उदाहरण शब्द,sample word,synthetic
नइ_451,उदाहरण शब्द,sample word,synthetic
झन_452,उदाहरण शब्द,sample word,synthetic
अऊ_453,उदाहरण शब्द,sample word,synthetic
घलो_454,उदाहरण शब्द,sample word,synthetic
ददा_455,उदाहरण शब्द,sample word,synthetic
दाई_456,उदाहरण शब्द,sample word,synthetic
भइया_457,उदाहरण शब्द,sample word,synthetic
बहिनी_458,उदाहरण शब्द,sample word,synthetic
लइका_459,उदाहरण शब्द,sample word,synthetic
किसान_460,उदाहरण शब्द,sample word,synthetic
धान_461,उदाहरण शब्द,sample word,synthetic
खेत_462,उदाहरण शब्द,sample word,synthetic
माटी_463,उदाहरण शब्द,sample word,synthetic
नदिया_464,उदाहरण शब्द,sample word,synthetic
पहार_465,उदाहरण शब्द,sample word,synthetic
जंगल_466,उदाहरण शब्द,sample word,synthetic
बरसात_467,उदाहरण शब्द,sample word,synthetic
हवा_468,उदाहरण शब्द,sample word,synthetic
सूरज_469,उदाहरण शब्द,sample word,synthetic
चंदा_470,उदाहरण शब्द,sample word,synthetic
मंदिर_471,उदाहरण शब्द,sample word,synthetic
झरना_472,उदाहरण शब्द,sample word,synthetic
मेला_473,उदाहरण शब्द,sample word,synthetic
